threshold,EN,SD,AG,SF,MI_SUM,MI_RGB,MI_Thermal,MI_UV
0.40,6.09350938856,57.2394860595,3.78546868725,13.8752193863,7.04636098441,2.99469999349,2.05216073846,1.99950025246
0.50,6.08943032924,57.2398502474,3.78507653872,13.876847195,7.05041684861,2.99870022317,2.05216128589,1.99955533955
0.60,6.08479464496,57.2382896987,3.7845563815,13.8784765785,7.05570806215,3.00329862658,2.05247516833,1.99993426724
0.70,6.07950716843,57.2353153332,3.78402786785,13.8805637198,7.06148345799,3.0089653823,2.05250424868,2.00001382701
0.80,6.07385636995,57.235139202,3.78362297717,13.8830374229,7.06728917515,3.01463869829,2.05250573797,2.00014473888
