score,base_rgb,base_t,base_u,target_rgb,target_t,target_u,EN,SD,AG,SF,MI_RGB,MI_Thermal,MI_UV,MI_SUM
7.233353380744405,0.94,0.04,0.02,0.5,0.4,0.1,6.089430329240399,57.2398502474365,3.7850765387217202,13.876847195036618,2.9987002231676048,2.0521612858883356,1.9995553395516286,7.05041684860757
7.2247141899544,0.94,0.04,0.02,0.55,0.35,0.1,6.073804987801446,57.0778832553921,3.779146298214241,13.936348912156658,3.003974911909771,2.0426725100414944,1.9950106344959244,7.04165805644719
7.221593704654447,0.94,0.04,0.02,0.44999999999999996,0.4,0.15,6.092834363748998,57.19905728283002,3.780505018469728,13.813270031669994,2.9914541269727355,2.045203763473348,2.0024543134959227,7.039112203942006
7.216577660169196,0.96,0.02,0.02,0.5,0.4,0.1,5.847554624816517,58.79467927443718,3.8330858614709644,14.150831828882664,3.150984682814089,1.8049154678907013,2.0749307744758636,7.030830925180654
7.214872409128746,0.94,0.04,0.02,0.6,0.3,0.1,6.054969480008255,56.99551982796203,3.7754340554461066,14.01164495503461,3.009494632771983,2.0327171060592755,1.989339423858932,7.03155116269019
7.2139775601826015,0.94,0.04,0.02,0.5,0.35,0.15,6.07842986524841,57.0103087456602,3.7736706564455855,13.862825761606663,2.996508251685436,2.0364473462248407,1.9984977137709246,7.031453311681201
7.21317106002339,0.94,0.04,0.02,0.39999999999999997,0.4,0.2,6.095972857357543,57.18348464254708,3.778802858458625,13.764206977538121,2.9849354981158736,2.040631268884785,2.005419172381282,7.0309859393819405
7.209035156876306,0.96,0.02,0.02,0.55,0.35,0.1,5.833159287770589,58.621881136035704,3.8270134638856956,14.208496034881215,3.1565146751249498,1.7961129242151908,2.070554673445189,7.023182272785329
7.20564654813886,0.94,0.04,0.02,0.45,0.35,0.2,6.08233184431806,56.96844415533362,3.7708878289034335,13.80322512579553,2.9896359003077073,2.0319122456396865,2.001955641695385,7.023503787642779
7.204917538287141,0.96,0.02,0.02,0.44999999999999996,0.4,0.15,5.850801220646611,58.75578582986764,3.8285469346576266,14.088535943149049,3.1436957936138596,1.7978991086080418,2.078023548309765,7.019618450531667
7.203706529262182,0.94,0.04,0.02,0.65,0.25,0.1,6.032728589611289,56.99696054395631,3.7742049002353055,14.1020492889263,3.0162177313858436,2.0202320235036857,1.983520380920962,7.019970135810492
7.203698793241983,0.94,0.04,0.02,0.5499999999999999,0.3,0.15,6.060349181846336,56.90067718528292,3.7691426659807745,13.928634182906444,3.0011804503084916,2.0264755805530297,1.9933253114865073,7.020981342348028
7.200587986684566,0.96,0.02,0.02,0.6,0.3,0.1,5.815821207599876,58.525920506982814,3.8230960678171226,14.281718524885767,3.1623909425877907,1.786653793594157,2.065441775843676,7.0144865120256235
7.200000107465178,0.94,0.04,0.02,0.4,0.35,0.25,6.086113327815209,56.95243379869177,3.770667217395924,13.758325208852321,2.983552927767006,2.028985791197973,2.0055497459340597,7.018088464899039
7.198919617254667,0.96,0.02,0.02,0.5,0.35,0.15,5.837752130296495,58.55703458837073,3.821602376890771,14.136387832370804,3.149285482651144,1.7899284272586897,2.0743756968762552,7.01358960678609
7.198342487293508,0.94,0.04,0.02,0.7000000000000001,0.2,0.1,6.008934199074169,57.085305684694326,3.7754492612532626,14.206742931295324,3.0291433307645628,2.00620294746991,1.9786990165649596,7.014045294799433
7.196826065651272,0.94,0.04,0.02,0.49999999999999994,0.3,0.2,6.06559721187309,56.83164536330474,3.7654751458285767,13.859084214693235,2.9942110233670567,2.022725701666902,1.9976296651689898,7.0145663902029485
