sample,read_ms,mask_ms,fuse_ms,write_ms,total_ms,fps_est
000000,15.070,37.734,1.578,21.001,75.384,13.27
000013,13.290,37.707,1.593,17.924,70.514,14.18
000020,16.782,37.682,1.582,16.278,72.323,13.83
000050,15.903,37.680,1.599,20.512,75.694,13.21
average,15.261,37.701,1.588,18.929,73.479,13.61
