method,EN,SD,AG,SF,MI_RGB,MI_Thermal,MI_UV,MI_SUM
AverageFusion,6.74464140998,30.9406912867,2.44601478326,6.54673620359,1.08985002669,1.66913623303,1.93877362639,4.69775988611
FixedWeightedFusion,6.58040552228,35.401842562,2.99111315203,9.71439018809,1.58669566848,1.81998632529,1.73322676339,5.13990875716
OursMaskFusion,6.07950716843,57.2353153332,3.78402786785,13.8805637198,3.0089653823,2.05250424868,2.00001382701,7.06148345799
VisibleOnly,3.77504261261,14.3512468149,0.855368422413,3.48691701595,3.77504219866,0.772545113093,0.984054271027,5.53164158278
