sample,mae,rmse,max_abs_diff,diff_pixels,total_pixels,exact_match
000000,0.000000,0.000000,0,0,50176,True
000013,0.000000,0.000000,0,0,50176,True
000020,0.000000,0.000000,0,0,50176,True
000050,0.000000,0.000000,0,0,50176,True
